label,index,middle,ring
YES,87,82,100
YES,77,71,100
YES,92,78,100
YES,100,82,100
YES,100,85,100
YES,100,87,100
YES,100,86,100
YES,100,81,100
YES,90,71,100
YES,90,70,100
YES,97,77,100
